sample	tissue	path
m140119_095807	brain	m140119_095807_sherri_c100625400310000001823112208061413_s1_p0.1.bax.h5
m140119_095807	brain	m140119_095807_sherri_c100625400310000001823112208061413_s1_p0.2.bax.h5
m140119_095807	brain	m140119_095807_sherri_c100625400310000001823112208061413_s1_p0.3.bax.h5
m140119_132554	brain	m140119_132554_sherri_c100625400310000001823112208061414_s1_p0.1.bax.h5
m140119_132554	brain	m140119_132554_sherri_c100625400310000001823112208061414_s1_p0.2.bax.h5
m140119_132554	brain	m140119_132554_sherri_c100625400310000001823112208061414_s1_p0.3.bax.h5
m140119_165149	brain	m140119_165149_sherri_c100623990070000001823119508061480_s1_p0.1.bax.h5
m140119_165149	brain	m140119_165149_sherri_c100623990070000001823119508061480_s1_p0.2.bax.h5
m140119_165149	brain	m140119_165149_sherri_c100623990070000001823119508061480_s1_p0.3.bax.h5
m140119_202143	brain	m140119_202143_sherri_c100623990070000001823119508061481_s1_p0.1.bax.h5
m140119_202143	brain	m140119_202143_sherri_c100623990070000001823119508061481_s1_p0.2.bax.h5
m140119_202143	brain	m140119_202143_sherri_c100623990070000001823119508061481_s1_p0.3.bax.h5
m140119_234911	brain	m140119_234911_sherri_c100623990070000001823119508061482_s1_p0.1.bax.h5
m140119_234911	brain	m140119_234911_sherri_c100623990070000001823119508061482_s1_p0.2.bax.h5
m140119_234911	brain	m140119_234911_sherri_c100623990070000001823119508061482_s1_p0.3.bax.h5
m140121_032639	brain	m140121_032639_42142_c100622940150000001823111308061430_s1_p0.1.bax.h5
m140121_032639	brain	m140121_032639_42142_c100622940150000001823111308061430_s1_p0.2.bax.h5
m140121_032639	brain	m140121_032639_42142_c100622940150000001823111308061430_s1_p0.3.bax.h5
m140121_064858	brain	m140121_064858_42142_c100622940150000001823111308061431_s1_p0.1.bax.h5
m140121_064858	brain	m140121_064858_42142_c100622940150000001823111308061431_s1_p0.2.bax.h5
m140121_064858	brain	m140121_064858_42142_c100622940150000001823111308061431_s1_p0.3.bax.h5
m140121_101415	brain	m140121_101415_42142_c100622940150000001823111308061432_s1_p0.1.bax.h5
m140121_101415	brain	m140121_101415_42142_c100622940150000001823111308061432_s1_p0.2.bax.h5
m140121_101415	brain	m140121_101415_42142_c100622940150000001823111308061432_s1_p0.3.bax.h5
m140121_133642	brain	m140121_133642_42142_c100622940150000001823111308061433_s1_p0.1.bax.h5
m140121_133642	brain	m140121_133642_42142_c100622940150000001823111308061433_s1_p0.2.bax.h5
m140121_133642	brain	m140121_133642_42142_c100622940150000001823111308061433_s1_p0.3.bax.h5
m140206_031640	brain	m140206_031640_42141_c110038252550000001823107706241420_s1_p0.1.bax.h5
m140206_031640	brain	m140206_031640_42141_c110038252550000001823107706241420_s1_p0.2.bax.h5
m140206_031640	brain	m140206_031640_42141_c110038252550000001823107706241420_s1_p0.3.bax.h5
m140206_063529	brain	m140206_063529_42141_c110038252550000001823107706241421_s1_p0.1.bax.h5
m140206_063529	brain	m140206_063529_42141_c110038252550000001823107706241421_s1_p0.2.bax.h5
m140206_063529	brain	m140206_063529_42141_c110038252550000001823107706241421_s1_p0.3.bax.h5
m140206_095437	brain	m140206_095437_42141_c110038252550000001823107706241422_s1_p0.1.bax.h5
m140206_095437	brain	m140206_095437_42141_c110038252550000001823107706241422_s1_p0.2.bax.h5
m140206_095437	brain	m140206_095437_42141_c110038252550000001823107706241422_s1_p0.3.bax.h5
m140206_131350	brain	m140206_131350_42141_c110038252550000001823107706241423_s1_p0.1.bax.h5
m140206_131350	brain	m140206_131350_42141_c110038252550000001823107706241423_s1_p0.2.bax.h5
m140206_131350	brain	m140206_131350_42141_c110038252550000001823107706241423_s1_p0.3.bax.h5
m140206_163303	brain	m140206_163303_42141_c110038252550000001823107706241424_s1_p0.1.bax.h5
m140206_163303	brain	m140206_163303_42141_c110038252550000001823107706241424_s1_p0.2.bax.h5
m140206_163303	brain	m140206_163303_42141_c110038252550000001823107706241424_s1_p0.3.bax.h5
m140206_195216	brain	m140206_195216_42141_c110038252550000001823107706241425_s1_p0.1.bax.h5
m140206_195216	brain	m140206_195216_42141_c110038252550000001823107706241425_s1_p0.2.bax.h5
m140206_195216	brain	m140206_195216_42141_c110038252550000001823107706241425_s1_p0.3.bax.h5
m140213_023318	brain	m140213_023318_sherri_c110038432550000001823107706241480_s1_p0.1.bax.h5
m140213_023318	brain	m140213_023318_sherri_c110038432550000001823107706241480_s1_p0.2.bax.h5
m140213_023318	brain	m140213_023318_sherri_c110038432550000001823107706241480_s1_p0.3.bax.h5
m140213_024332	brain	m140213_024332_42142_c100632392550000001823124209121480_s1_p0.1.bax.h5
m140213_024332	brain	m140213_024332_42142_c100632392550000001823124209121480_s1_p0.2.bax.h5
m140213_024332	brain	m140213_024332_42142_c100632392550000001823124209121480_s1_p0.3.bax.h5
m140213_055450	brain	m140213_055450_sherri_c110038432550000001823107706241481_s1_p0.1.bax.h5
m140213_055450	brain	m140213_055450_sherri_c110038432550000001823107706241481_s1_p0.2.bax.h5
m140213_055450	brain	m140213_055450_sherri_c110038432550000001823107706241481_s1_p0.3.bax.h5
m140213_061904	brain	m140213_061904_42142_c100632392550000001823124209121481_s1_p0.1.bax.h5
m140213_061904	brain	m140213_061904_42142_c100632392550000001823124209121481_s1_p0.2.bax.h5
m140213_061904	brain	m140213_061904_42142_c100632392550000001823124209121481_s1_p0.3.bax.h5
m140213_091856	brain	m140213_091856_sherri_c110038432550000001823107706241482_s1_p0.1.bax.h5
m140213_091856	brain	m140213_091856_sherri_c110038432550000001823107706241482_s1_p0.2.bax.h5
m140213_091856	brain	m140213_091856_sherri_c110038432550000001823107706241482_s1_p0.3.bax.h5
m140213_095745	brain	m140213_095745_42142_c100632392550000001823124209121482_s1_p0.1.bax.h5
m140213_095745	brain	m140213_095745_42142_c100632392550000001823124209121482_s1_p0.2.bax.h5
m140213_095745	brain	m140213_095745_42142_c100632392550000001823124209121482_s1_p0.3.bax.h5
m140213_124252	brain	m140213_124252_sherri_c110038432550000001823107706241483_s1_p0.1.bax.h5
m140213_124252	brain	m140213_124252_sherri_c110038432550000001823107706241483_s1_p0.2.bax.h5
m140213_124252	brain	m140213_124252_sherri_c110038432550000001823107706241483_s1_p0.3.bax.h5
m140213_133714	brain	m140213_133714_42142_c100632392550000001823124209121483_s1_p0.1.bax.h5
m140213_133714	brain	m140213_133714_42142_c100632392550000001823124209121483_s1_p0.2.bax.h5
m140213_133714	brain	m140213_133714_42142_c100632392550000001823124209121483_s1_p0.3.bax.h5
m140213_160622	brain	m140213_160622_sherri_c110038432550000001823107706241484_s1_p0.1.bax.h5
m140213_160622	brain	m140213_160622_sherri_c110038432550000001823107706241484_s1_p0.2.bax.h5
m140213_160622	brain	m140213_160622_sherri_c110038432550000001823107706241484_s1_p0.3.bax.h5
m140213_192933	brain	m140213_192933_sherri_c110038432550000001823107706241485_s1_p0.1.bax.h5
m140213_192933	brain	m140213_192933_sherri_c110038432550000001823107706241485_s1_p0.2.bax.h5
m140213_192933	brain	m140213_192933_sherri_c110038432550000001823107706241485_s1_p0.3.bax.h5
m140220_010916	brain	m140220_010916_42141_c100623532550000001823111708061436_s1_p0.1.bax.h5
m140220_010916	brain	m140220_010916_42141_c100623532550000001823111708061436_s1_p0.2.bax.h5
m140220_010916	brain	m140220_010916_42141_c100623532550000001823111708061436_s1_p0.3.bax.h5
m140220_042756	brain	m140220_042756_42141_c100623532550000001823111708061437_s1_p0.1.bax.h5
